API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174056970,  001,ST00BP01,G08801,MC,  167,Exxon Mobil Corporation,6/7/1997,16000,14469,14383,86,14908,6/18/1997,7/22/1997,E,ST,N,4274,N,G08803,28.79511463,-88.23153623,28.80369633,-88.22768763
608174011602, A006,ST02BP00,G02970,MC,  268,Exxon Mobil Corporation,9/10/2001,6364,5917,5760,157,4099,9/13/2001,9/17/2001,D,ST,,343,N,G02970,28.65209135,-89.78653769,28.65032485,-89.79126429
608174094000,  001,ST00BP00,G21770,MC,  555,Exxon Mobil Corporation,5/25/2001,7250,7250,7167,83,,5/27/2001,6/12/2001,E,ST,,4749,N,G21770,28.41056077,-88.64370091,28.41038887,-88.64373651
608174088800,MA002,ST00BP00,G08801,MC,  167,Exxon Mobil Corporation,6/25/2000,18462,14415,14336,79,,9/2/2000,10/16/2004,D,ST,,4350,C,G08803,28.78402904,-88.23444697,28.80556354,-88.22898657
608174085601,  001,ST00BP01,G18207,MC,  252,"Dominion Exploration & Production, Inc.",10/19/1999,8879,8846,8764,82,7525,10/20/1999,10/21/1999,E,ST,,5225,N,G18207,28.72260446,-88.37697497,28.72236256,-88.37753027
608174085600,  001,ST00BP00,G18207,MC,  252,"Dominion Exploration & Production, Inc.",9/26/1999,9038,9000,8918,82,,10/6/1999,10/19/1999,E,ST,,5225,N,G18207,28.72260446,-88.37697497,28.72205286,-88.37744767
608174084300, A004,ST00BP00,G02964,MC,  355,Exxon Mobil Corporation,3/18/1999,3042,3042,2956,86,,3/24/1999,3/30/1999,D,ST,N,1458,N,G02964,28.57252626,-89.84031779,28.57255356,-89.84032229
608174024100, A010,ST00BP00,G03605,MC,  324,Exxon Mobil Corporation,3/23/1985,9200,9002,8851,151,,4/16/1985,1/20/1990,D,ST,N,1001,N,G03818,28.66266321,-89.15754775,28.65979741,-89.15610135
608174019400, A013,ST00BP00,G02970,MC,  268,Exxon Mobil Corporation,6/2/1983,12830,12399,12264,135,,7/21/1983,11/16/2001,D,ST,N,343,N,G02970,28.65211973,-89.78649481,28.65883733,-89.78707001
608174034400, A053,ST00BP01,G03605,MC,  324,Exxon Mobil Corporation,11/9/1988,12898,9245,9094,151,7250,11/28/1988,7/25/2003,D,ST,N,1001,N,G03818,28.66266291,-89.15756645,28.64205571,-89.15493525
