,lease,protraction_id,block_num,sale,bid_amount,company_num,precentage_bid,company,block_code
180,36604,NG15-02,421,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 421
181,36536,NH16-10,107,252,0.110207,3026,100.0,EnVen Energy Ventures,NH16-10 - 107
182,36605,NG15-02,464,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 464
183,36658,NG15-03,900,252,0.6,2058,100.0,LLOG Exploration Offshore,NG15-03 - 900
184,36658,NG15-03,900,252,0.600213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NG15-03 - 900
185,36584,NH16-11,758,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 758
186,36481,NG15-01,995,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 995
187,36485,NG15-02,531,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 531
188,36486,NG15-04,27,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-04 - 27
189,36508,LA4A,395,252,0.13,1284,100.0,W & T Offshore,LA4A - 395
190,36557,NH16-10,789,252,0.625233,3295,100.0,Fieldwood Energy LLC,NH16-10 - 789
191,36498,NG15-04,730,252,0.7019880000000001,689,100.0,Shell Offshore Inc.,NG15-04 - 730
192,36499,NG15-04,773,252,0.7019880000000001,689,100.0,Shell Offshore Inc.,NG15-04 - 773
193,36479,NG15-01,953,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 953
194,36645,NG15-03,391,252,1.067505,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 391
195,36505,LA4A,357,252,0.25,1284,100.0,W & T Offshore,LA4A - 357
196,36555,NH16-10,744,252,0.578933,3295,100.0,Fieldwood Energy LLC,NH16-10 - 744
197,36522,NH16-07,814,252,0.016505000000000002,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 814
198,36674,NG16-01,95,252,0.6046229999999999,2647,50.0,Murphy Exploration & Production Company - USA,NG16-01 - 95
199,36674,NG16-01,95,252,0.6046229999999999,1308,50.0,Ridgewood Energy Corporation,NG16-01 - 95
200,36681,NG16-02,11,252,0.731988,689,100.0,Shell Offshore Inc.,NG16-02 - 11
201,36516,LA6B,8,252,0.150007,3583,100.0,Juneau Oil & Gas,LA6B - 8
202,36610,NG15-02,509,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 509
203,36678,NG16-01,487,252,0.613784,3026,100.0,EnVen Energy Ventures,NG16-01 - 487
204,36524,NH16-07,816,252,0.30750500000000003,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 816
205,36561,NH16-10,831,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 831
206,36587,NH16-11,797,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 797
207,36503,LA3C,182,252,0.09015,3310,100.0,GulfSlope Energy,LA3C - 182
208,36532,NH15-12,949,252,0.150909,59,100.0,Hess Corporation,NH15-12 - 949
209,36500,NG15-04,774,252,0.7019880000000001,689,100.0,Shell Offshore Inc.,NG15-04 - 774
